Time,Type,Page,IP,Country,Dwell,Analytics Fired
09:19:12,DIRECT,home,170.245.132.86,PY,1.0s,12
09:19:17,ORGANIC,home,200.174.198.158,BR,314.6s,7
09:21:17,ORGANIC,home,38.145.218.189,US,178.3s,8
09:21:59,ORGANIC,home,38.156.14.34,DO,296.3s,12
09:22:04,ORGANIC,home,8.219.188.145,SG,152.8s,1
09:22:58,ORGANIC,home,116.80.49.165,JP,180.5s,12
09:26:44,DIRECT,home,190.9.109.234,MX,6.3s,12
09:34:29,ORGANIC,home,85.208.108.43,CA,170.2s,0
09:34:38,DIRECT,home,43.218.11.238,ID,1.7s,1
09:36:31,ORGANIC,home,45.186.6.104,EC,287.6s,12
09:39:33,ORGANIC,home,119.93.64.216,PH,181.7s,8
09:46:40,ORGANIC,home,205.209.118.30,US,242.8s,1
09:46:45,ORGANIC,home,36.70.225.20,ID,322.5s,10
09:47:07,DIRECT,home,116.80.49.165,JP,8.3s,12
09:47:55,ORGANIC,home,116.80.65.77,JP,306.6s,12
09:48:27,DIRECT,home,205.209.118.30,US,1.3s,1
09:48:55,ORGANIC,home,116.80.96.100,JP,253.6s,12
09:49:24,DIRECT,home,116.80.65.77,JP,0.6s,12
09:50:45,ORGANIC,home,188.132.249.241,TR,257.5s,8
09:51:36,DIRECT,home,116.80.96.100,JP,7.1s,10
09:57:13,ORGANIC,home,103.61.75.4,IN,162.4s,8
10:00:29,ORGANIC,home,16.78.115.88,ID,204.6s,1
10:01:01,DIRECT,home,103.61.75.4,IN,14.7s,10
10:01:45,ORGANIC,home,45.136.130.166,US,200.0s,12
10:02:08,DIRECT,home,116.80.49.163,JP,7.7s,12
10:02:34,ORGANIC,home,171.234.48.149,VN,239.1s,8
10:02:55,DIRECT,home,16.78.115.88,ID,4.6s,1
10:06:21,ORGANIC,home,103.159.96.89,ID,227.4s,12
10:08:13,DIRECT,home,116.80.96.106,JP,8.4s,12
10:10:45,ORGANIC,home,45.167.124.52,CO,178.0s,12
10:10:53,ORGANIC,home,203.96.227.85,BD,243.8s,8
10:14:55,DIRECT,home,45.167.124.52,CO,5.5s,12
10:15:08,ORGANIC,home,213.220.62.62,NL,196.6s,12
10:15:46,ORGANIC,home,116.80.60.44,JP,249.6s,12
10:17:20,ORGANIC,home,181.67.60.131,PE,339.1s,8
10:18:38,ORGANIC,home,185.115.75.43,CZ,210.8s,12
10:21:32,ORGANIC,home,162.240.154.26,US,237.7s,8
10:21:45,ORGANIC,home,116.80.96.105,JP,283.5s,12
10:23:33,ORGANIC,home,205.209.118.30,US,221.2s,1
10:27:50,ORGANIC,home,116.80.96.107,JP,242.1s,12
10:29:57,ORGANIC,home,181.78.44.63,HN,232.5s,10
10:30:26,ORGANIC,home,190.109.6.116,CO,260.0s,10
10:32:57,DIRECT,home,179.96.28.58,BR,6.1s,12
10:35:16,ORGANIC,home,210.223.44.230,KR,249.9s,12
10:37:12,ORGANIC,home,125.161.134.45,ID,218.5s,12
10:38:27,ORGANIC,home,121.126.185.63,KR,431.9s,0
10:38:59,DIRECT,home,41.180.70.2,ZA,27.6s,8
10:40:51,DIRECT,home,103.102.12.86,ID,13.5s,10
10:43:23,ORGANIC,home,119.18.144.5,BD,203.2s,8
10:46:21,ORGANIC,home,116.80.96.111,JP,193.3s,12
10:50:18,ORGANIC,home,177.234.213.250,EC,207.9s,8
10:52:11,ORGANIC,home,116.80.59.157,JP,247.6s,12
10:52:32,ORGANIC,home,103.78.83.18,ID,257.1s,12
10:53:41,ORGANIC,home,36.84.18.80,ID,306.8s,12
10:54:15,ORGANIC,home,177.234.217.82,EC,404.4s,10
10:56:36,ORGANIC,home,116.80.49.163,JP,306.7s,10
10:57:10,ORGANIC,home,36.70.101.226,ID,289.7s,10
10:57:14,ORGANIC,home,147.45.251.242,RU,217.6s,12
10:57:41,ORGANIC,home,180.252.128.30,ID,166.9s,12
10:58:33,ORGANIC,home,116.80.49.169,JP,187.0s,12
11:00:54,DIRECT,home,36.70.101.226,ID,2.5s,9
11:02:58,ORGANIC,home,116.80.47.62,JP,158.3s,8
13:40:35,ORGANIC,home,201.150.118.82,MX,228.3s,8
13:41:21,ORGANIC,home,116.80.49.167,JP,161.4s,12
13:41:41,ORGANIC,home,116.80.96.106,JP,191.4s,12
13:43:44,ORGANIC,home,103.152.238.179,ID,168.6s,10
13:43:48,ORGANIC,home,116.111.255.67,VN,145.4s,12
13:44:24,DIRECT,home,116.80.49.167,JP,1.1s,10
13:47:38,ORGANIC,home,116.80.49.172,JP,301.0s,12
13:49:16,ORGANIC,home,103.112.45.43,ID,198.8s,8
13:50:18,ORGANIC,home,185.191.236.162,CH,242.7s,10
13:52:34,ORGANIC,home,38.54.16.184,SG,172.6s,12
13:55:23,ORGANIC,home,45.186.6.104,EC,202.1s,12
13:55:36,ORGANIC,home,16.78.88.243,ID,191.7s,1
13:57:50,ORGANIC,home,103.187.136.25,BD,201.0s,8
13:59:30,ORGANIC,home,116.80.96.106,JP,164.0s,10
14:01:48,DIRECT,home,116.80.96.106,JP,6.0s,10
14:02:50,ORGANIC,home,116.80.49.159,JP,217.1s,10
14:04:20,ORGANIC,home,203.196.8.6,HK,230.6s,7
14:05:10,ORGANIC,home,163.227.146.38,ID,171.6s,8
14:07:11,ORGANIC,home,116.80.96.100,JP,265.7s,12
14:11:53,DIRECT,home,177.200.239.141,DO,20.8s,12
14:12:19,ORGANIC,home,5.129.206.40,RU,183.4s,12
14:15:59,DIRECT,home,116.80.49.163,JP,8.0s,8
14:17:19,ORGANIC,home,205.209.118.30,US,109.8s,1
14:17:39,ORGANIC,home,89.185.85.138,DE,144.9s,12
14:21:18,DIRECT,home,43.218.11.238,ID,2.3s,1
14:25:30,ORGANIC,home,103.3.246.71,VN,170.6s,12
14:29:20,ORGANIC,home,58.27.152.162,PK,257.7s,8
14:43:25,ORGANIC,home,190.121.145.134,CO,291.0s,8
14:48:27,ORGANIC,home,16.78.88.243,ID,141.2s,1
14:49:13,ORGANIC,home,116.80.96.111,JP,199.1s,10
14:55:08,ORGANIC,home,205.209.118.30,US,127.2s,1
14:55:49,DIRECT,home,45.167.124.52,CO,5.3s,12
14:55:57,ORGANIC,home,202.5.33.33,BD,184.5s,12
14:56:51,ORGANIC,home,5.129.206.247,RU,227.3s,12
14:57:10,ORGANIC,home,116.80.95.238,JP,150.3s,12
14:58:42,ORGANIC,home,205.209.118.30,US,247.0s,1
14:58:55,DIRECT,home,202.5.33.33,BD,0.9s,12
14:59:15,ORGANIC,home,41.223.119.156,ZM,253.8s,12
15:00:02,DIRECT,home,205.209.118.30,US,1.2s,1
15:02:29,ORGANIC,home,5.129.206.247,RU,259.5s,12
15:03:42,ORGANIC,home,185.191.236.162,CH,150.3s,10
15:04:54,DIRECT,home,5.129.206.247,RU,2.7s,12
15:08:53,DIRECT,home,181.78.79.155,CO,10.8s,12
15:18:46,ORGANIC,home,103.178.86.141,ID,294.7s,8
15:22:05,DIRECT,home,103.178.86.141,ID,1.4s,12
15:22:14,ORGANIC,home,45.186.6.104,EC,268.9s,12
15:25:41,ORGANIC,home,103.143.197.6,ID,224.4s,8
15:30:31,ORGANIC,home,170.168.253.16,RU,242.8s,10
15:31:51,ORGANIC,home,5.129.202.104,RU,155.2s,12
15:32:40,ORGANIC,home,45.136.130.166,US,199.9s,12
15:32:51,ORGANIC,home,181.78.194.249,EC,301.6s,8
15:33:01,ORGANIC,home,103.162.54.10,ID,234.7s,8
15:35:08,ORGANIC,home,38.191.203.59,CO,295.5s,12
15:40:06,ORGANIC,home,116.80.49.168,JP,286.1s,10
15:40:39,ORGANIC,home,150.107.140.227,ID,166.2s,12
15:40:42,ORGANIC,home,185.191.236.162,CH,212.0s,12
15:42:25,DIRECT,home,128.90.135.71,NL,19.6s,0
15:42:52,ORGANIC,home,147.45.251.242,RU,209.9s,12
15:43:33,DIRECT,home,185.191.236.162,CH,0.8s,12
15:43:54,ORGANIC,home,103.175.238.106,ID,205.4s,8
15:44:27,ORGANIC,home,116.80.47.62,JP,207.9s,8
15:47:01,DIRECT,home,103.175.238.106,ID,0.8s,8
15:47:41,DIRECT,home,116.80.47.62,JP,6.9s,10
15:52:28,ORGANIC,home,116.80.49.168,JP,239.9s,10
15:54:43,ORGANIC,home,158.69.185.37,CA,142.7s,1
15:56:45,DIRECT,home,190.217.17.10,CO,49.6s,8
15:58:24,ORGANIC,home,213.220.62.62,NL,197.3s,12
16:01:15,ORGANIC,home,158.69.185.37,CA,201.2s,1
